"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"17109","Zotu17109","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.31,"Hydrozoa","class",0.26,"Siphonophorae","order",0.17,"Agalmatidae","family",0.08,"Marrus","genus",0.08,"Marrus orthocanna","species",0.08
"17112","Zotu17112","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.46,"Insecta","class",0.22,"Coleoptera","order",0.05,"Buprestidae","family",0.01,"Julodis","genus",0.01,"Julodis recenta","species",0.01
"17113","Zotu17113","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",1,"Collembola","class",0.96,"Isotomidae","family",0.95,"Isotoma","genus",0.95,"Isotoma riparia","species",0.95,"","",NA
"17117","Zotu17117","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.79,"Insecta","class",0.7,"Lepidoptera","order",0.16,"Nymphalidae","family",0.06,"Amphidecta","genus",0.02,"Amphidecta calliomma","species",0.02
"17120","Zotu17120","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.57,"Actinopteri","class",0.34,"Sciaenidae","family",0.03,"Pteroscion","genus",0.03,"Pteroscion peli","species",0.03,"","",NA
"17123","Zotu17123","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.08,"Gastropoda","class",0.07,"Limacidae","family",0.04,"Limax","genus",0.04,"Limax giovannellae","species",0.04,"","",NA
"17124","Zotu17124","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",0.91,"Polychaeta","class",0.91,"Phyllodocida","order",0.91,"Hesionidae","family",0.88,"Syllidia","genus",0.87,"Syllidia armata","species",0.87
"17125","Zotu17125","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.63,"Arachnida","class",0.06,"Araneae","order",0.04,"Nephilidae","family",0,"Clitaetra","genus",0,"Clitaetra episinoides","species",0
"17127","Zotu17127","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.43,"Hydrozoa","class",0.37,"Anthoathecata","order",0.19,"Pennariidae","family",0.18,"Pennaria","genus",0.18,"Pennaria disticha","species",0.18
"17130","Zotu17130","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.29,"Hydrozoa","class",0.12,"Siphonophorae","order",0.05,"Physophoridae","family",0.03,"Physophora","genus",0.03,"Physophora hydrostatica","species",0.03
"17133","Zotu17133","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.38,"Hydrozoa","class",0.37,"Siphonophorae","order",0.23,"Physophoridae","family",0.1,"Physophora","genus",0.1,"Physophora hydrostatica","species",0.1
"17134","Zotu17134","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.4,"Demospongiae","class",0.4,"Hadromerida","order",0.22,"Hemiasterellidae","family",0.18,"Axos","genus",0.08,"Axos cliftoni","species",0.08
"17135","Zotu17135","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.75,"Insecta","class",0.57,"Strepsiptera","order",0.01,"Halictophagidae","family",0.01,"Halictophagus","genus",0.01,"Halictophagus calcaratus","species",0.01
"17136","Zotu17136","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.54,"Insecta","class",0.34,"Hymenoptera","order",0.12,"Megachilidae","family",0.04,"Osmia","genus",0.04,"Osmia ferruginea","species",0.04
"17137","Zotu17137","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.28,"Chondrichthyes","class",0.07,"Myliobatiformes","order",0.07,"Hexatrygonidae","family",0.07,"Hexatrygon","genus",0.07,"Hexatrygon bickelli","species",0.07
"17138","Zotu17138","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",0.14,"Polychaeta","class",0.13,"Terebellida","order",0.1,"Pectinariidae","family",0.1,"Pectinaria","genus",0.1,"Pectinaria granulata","species",0.1
"17140","Zotu17140","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",1,"Insecta","class",0.95,"Diptera","order",0.5,"Chironomidae","family",0.08,"Axarus","genus",0.03,"Axarus festivus","species",0.03
"17143","Zotu17143","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.44,"Hydrozoa","class",0.39,"Anthoathecata","order",0.24,"Pennariidae","family",0.2,"Pennaria","genus",0.2,"Pennaria disticha","species",0.2
"17145","Zotu17145","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.12,"Demospongiae","class",0.11,"Poecilosclerida","order",0.07,"Microcionidae","family",0.04,"Clathria","genus",0.04,"Clathria rugosa","species",0.04
"17146","Zotu17146","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.51,"Actinopteri","class",0.28,"Beloniformes","order",0.09,"Adrianichthyidae","family",0.09,"Oryzias","genus",0.09,"Oryzias marmoratus","species",0.09
"17147","Zotu17147","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.21,"Anthozoa","class",0.2,"Scleractinia","order",0.2,"Caryophylliidae","family",0.2,"Caryophyllia","genus",0.11,"Caryophyllia ralphae","species",0.1
"17148","Zotu17148","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.25,"Hydrozoa","class",0.22,"Siphonophorae","order",0.13,"Apolemiidae","family",0.12,"Apolemia","genus",0.12,"Apolemia lanosa","species",0.08
"17150","Zotu17150","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.67,"Hydrozoa","class",0.65,"Anthoathecata","order",0.29,"Pennariidae","family",0.27,"Pennaria","genus",0.27,"Pennaria disticha","species",0.27
"17151","Zotu17151","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.47,"Actinopteri","class",0.23,"Ateleopodiformes","order",0.05,"Ateleopodidae","family",0.05,"Ateleopus","genus",0.05,"Ateleopus japonicus","species",0.05
"17154","Zotu17154","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.57,"Hydrozoa","class",0.43,"Anthoathecata","order",0.25,"Pennariidae","family",0.16,"Pennaria","genus",0.16,"Pennaria disticha","species",0.16
"17156","Zotu17156","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.69,"Insecta","class",0.58,"Hymenoptera","order",0.37,"Apidae","family",0.12,"Eulaema","genus",0.01,"Eulaema seabrai","species",0.01
"17157","Zotu17157","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",0.03,"Polychaeta","class",0.03,"Terebellida","order",0.03,"Alvinellidae","family",0.03,"Paralvinella","genus",0.03,"Paralvinella sulfincola","species",0.03
"17161","Zotu17161","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.18,"Gastropoda","class",0.16,"Vermetidae","family",0.07,"Thylacodes","genus",0.07,"Thylacodes squamigerus","species",0.07,"","",NA
"17165","Zotu17165","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.72,"Insecta","class",0.67,"Diptera","order",0.25,"Tephritidae","family",0.03,"Campiglossa","genus",0.03,"Campiglossa pygmaea","species",0.03
"17173","Zotu17173","","root","root",1,"Eukaryota","superkingdom",1,"Nemertea","phylum",0.08,"Enopla","class",0.08,"Monostilifera","order",0.08,"Protopelagonemertes","genus",0.07,"Protopelagonemertes beebei","species",0.07,"","",NA
"17176","Zotu17176","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.12,"Hydrozoa","class",0.11,"Anthoathecata","order",0.08,"Pennariidae","family",0.08,"Pennaria","genus",0.08,"Pennaria disticha","species",0.08
"17180","Zotu17180","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.3,"Hydrozoa","class",0.17,"Anthoathecata","order",0.13,"Sympagohydridae","family",0.11,"Sympagohydra","genus",0.11,"Sympagohydra tuuli","species",0.11
"17182","Zotu17182","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.26,"Actinopteri","class",0.07,"Gonorynchiformes","order",0.02,"Kneriidae","family",0.01,"Cromeria","genus",0.01,"Cromeria occidentalis","species",0.01
"17183","Zotu17183","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.61,"Hydrozoa","class",0.44,"Siphonophorae","order",0.15,"Agalmatidae","family",0.04,"Marrus","genus",0.04,"Marrus orthocanna","species",0.04
"17184","Zotu17184","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.26,"Demospongiae","class",0.25,"Hadromerida","order",0.09,"Hemiasterellidae","family",0.08,"Paratimea","genus",0.04,"Paratimea constellata","species",0.04
"17185","Zotu17185","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.44,"Hydrozoa","class",0.39,"Siphonophorae","order",0.23,"Physophoridae","family",0.17,"Physophora","genus",0.17,"Physophora hydrostatica","species",0.17
"17187","Zotu17187","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.23,"Hydrozoa","class",0.23,"Siphonophorae","order",0.07,"Physophoridae","family",0.07,"Physophora","genus",0.07,"Physophora hydrostatica","species",0.07
"17190","Zotu17190","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.38,"Hydrozoa","class",0.27,"Siphonophorae","order",0.09,"Apolemiidae","family",0.09,"Apolemia","genus",0.09,"Apolemia lanosa","species",0.05
"17195","Zotu17195","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.54,"Insecta","class",0.37,"Hemiptera","order",0.08,"Cicadidae","family",0.03,"Atrapsalta (nomen nudum)","genus",0.02,"Atrapsalta corticina (nomen nudum)","species",0.02
"17196","Zotu17196","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.07,"Homoscleromorpha","class",0.02,"Homosclerophorida","order",0.02,"Plakinidae","family",0.02,"Pseudocorticium","genus",0,"Pseudocorticium jarrei","species",0
"17198","Zotu17198","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.48,"Arachnida","class",0.36,"Scorpiones","order",0.2,"Diplocentridae","family",0.07,"Diplocentrus","genus",0.07,"Diplocentrus reddelli","species",0.06
"17200","Zotu17200","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.63,"Pycnogonida","class",0.09,"Pantopoda","order",0.09,"Ammotheidae","family",0.08,"Achelia","genus",0.08,"Achelia bituberculata","species",0.08
"17201","Zotu17201","","root","root",1,"Eukaryota","superkingdom",1,"Echinodermata","phylum",0.14,"Crinoidea","class",0.13,"Bourgueticrinida","order",0.09,"Bathycrinidae","family",0.09,"Monachocrinus","genus",0.09,"Monachocrinus caribbeus","species",0.09
"17209","Zotu17209","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.83,"Amphibia","class",0.08,"Anura","order",0.05,"Pipidae","family",0.03,"Pipa","genus",0.03,"Pipa carvalhoi","species",0.03
"17216","Zotu17216","","root","root",1,"Eukaryota","superkingdom",1,"Nematoda","phylum",0.13,"Chromadorea","class",0.13,"Ascaridida","order",0.05,"Ascarididae","family",0.04,"Baylisascaris","genus",0.04,"Baylisascaris ailuri","species",0.04
"17217","Zotu17217","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.23,"Anthozoa","class",0.12,"Scleractinia","order",0.1,"Caryophylliidae","family",0.05,"Solenosmilia","genus",0.05,"Solenosmilia variabilis","species",0.05
"17219","Zotu17219","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.63,"Hydrozoa","class",0.61,"Narcomedusae","order",0.14,"Tetraplatia","genus",0.14,"Tetraplatia volitans","species",0.14,"","",NA
"17223","Zotu17223","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.41,"Hydrozoa","class",0.36,"Siphonophorae","order",0.15,"Prayidae","family",0.08,"Praya","genus",0.08,"Praya dubia","species",0.08
"17224","Zotu17224","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.27,"Hydrozoa","class",0.11,"Anthoathecata","order",0.05,"Hydractiniidae","family",0.03,"Solanderia","genus",0.03,"Solanderia secunda","species",0.03
"17225","Zotu17225","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.38,"Insecta","class",0.34,"Hemiptera","order",0.04,"Reduviidae","family",0.01,"Oncocephalus","genus",0.01,"Oncocephalus breviscutum","species",0.01
"17226","Zotu17226","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.11,"Homoscleromorpha","class",0.04,"Homosclerophorida","order",0.04,"Plakinidae","family",0.04,"Oscarella","genus",0.04,"Oscarella malakhovi","species",0.03
"17227","Zotu17227","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.16,"Gastropoda","class",0.11,"Neritiliidae","family",0.05,"Neritilia","genus",0.05,"Neritilia littoralis","species",0.04,"","",NA
"17229","Zotu17229","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.33,"Hydrozoa","class",0.18,"Siphonophorae","order",0.13,"Physophoridae","family",0.08,"Physophora","genus",0.08,"Physophora hydrostatica","species",0.08
"17232","Zotu17232","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.87,"Insecta","class",0.76,"Lepidoptera","order",0.28,"Sesiidae","family",0.11,"Bembecia","genus",0.1,"Bembecia hymenopteriformis","species",0.04
"17233","Zotu17233","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.18,"Gastropoda","class",0.16,"Trochomorphidae","family",0.01,"Videna","genus",0.01,"Videna planorbis","species",0.01,"","",NA
"17234","Zotu17234","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.66,"Hydrozoa","class",0.6,"Anthoathecata","order",0.51,"Pennariidae","family",0.45,"Pennaria","genus",0.45,"Pennaria disticha","species",0.45
"17236","Zotu17236","","root","root",1,"Eukaryota","superkingdom",1,"Nemertea","phylum",0.08,"Anopla","class",0.06,"Heteronemertea","order",0.06,"Lineidae","family",0.06,"Micrura","genus",0.06,"Micrura bella","species",0.06
"17239","Zotu17239","","root","root",1,"Eukaryota","superkingdom",1,"Nematoda","phylum",0.18,"Chromadorea","class",0.18,"Tylenchida","order",0.18,"Aphelenchoididae","family",0.18,"Bursaphelenchus","genus",0.18,"Bursaphelenchus cocophilus","species",0.18
"17240","Zotu17240","","root","root",1,"Eukaryota","superkingdom",1,"Nematoda","phylum",0.09,"Chromadorea","class",0.09,"Rhabditida","order",0.07,"Metastrongylidae","family",0.06,"Metastrongylus","genus",0.06,"Metastrongylus salmi","species",0.06
"17241","Zotu17241","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.44,"Insecta","class",0.33,"Lepidoptera","order",0.17,"Lycaenidae","family",0.1,"Chrysoritis","genus",0.07,"Chrysoritis aethon","species",0.07
"17242","Zotu17242","","root","root",1,"Eukaryota","superkingdom",1,"Platyhelminthes","phylum",0.21,"Cestoda","class",0.16,"Tetrabothriidea","order",0.07,"Tetrabothriidae","family",0.07,"Tetrabothrius","genus",0.07,"Tetrabothrius erostris","species",0.07
"17243","Zotu17243","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.06,"Hydrozoa","class",0.06,"Anthoathecata","order",0.04,"Porpitidae","family",0.04,"Velella","genus",0.04,"Velella velella","species",0.04
"17244","Zotu17244","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.19,"Calicogorgia","genus",0.08,"Calicogorgia granulosa","species",0.08,"","",NA,"","",NA,"","",NA
"17246","Zotu17246","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.3,"Demospongiae","class",0.25,"Verongida","order",0.08,"Aplysinidae","family",0.08,"Aplysina","genus",0.08,"Aplysina cauliformis","species",0.08
"17247","Zotu17247","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.28,"Demospongiae","class",0.25,"Hadromerida","order",0.14,"Polymastiidae","family",0.12,"Quasillina","genus",0.03,"Quasillina brevis","species",0.03
"17251","Zotu17251","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.08,"Homoscleromorpha","class",0.08,"Homosclerophorida","order",0.08,"Plakinidae","family",0.08,"Pseudocorticium","genus",0.06,"Pseudocorticium jarrei","species",0.06
"17253","Zotu17253","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.3,"Anthozoa","class",0.22,"Helioporacea","order",0.06,"Helioporidae","family",0.06,"Heliopora","genus",0.06,"Heliopora coerulea","species",0.06
"17254","Zotu17254","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.16,"Hydrozoa","class",0.15,"Anthoathecata","order",0.1,"Pennariidae","family",0.1,"Pennaria","genus",0.1,"Pennaria disticha","species",0.1
"17255","Zotu17255","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.14,"Demospongiae","class",0.13,"Dictyoceratida","order",0.06,"Spongiidae","family",0.06,"Hyattella","genus",0.03,"Hyattella sinuosa","species",0.03
"17257","Zotu17257","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.58,"Insecta","class",0.39,"Hemiptera","order",0.16,"Cicadidae","family",0.11,"Falcatpsalta (nomen nudum)","genus",0.01,"Falcatpsalta aquila (nomen nudum)","species",0.01
"17259","Zotu17259","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.21,"Calicogorgia","genus",0.03,"Calicogorgia granulosa","species",0.03,"","",NA,"","",NA,"","",NA
"17260","Zotu17260","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.82,"Insecta","class",0.74,"Diptera","order",0.26,"Syrphidae","family",0.12,"Toxomerus","genus",0.11,"Toxomerus tibicen","species",0.05
"17268","Zotu17268","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.34,"Insecta","class",0.22,"Diptera","order",0.09,"Mycetophilidae","family",0.05,"Mycetophila","genus",0.05,"Mycetophila lunata","species",0.05
"17275","Zotu17275","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.25,"Hydrozoa","class",0.17,"Anthoathecata","order",0.08,"Pennariidae","family",0.06,"Pennaria","genus",0.06,"Pennaria disticha","species",0.06
"17278","Zotu17278","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.92,"Insecta","class",0.83,"Diptera","order",0.59,"Drosophilidae","family",0.34,"Stegana","genus",0.15,"Stegana emeiensis","species",0.15
"17280","Zotu17280","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.61,"Arachnida","class",0.17,"Araneae","order",0.12,"Salticidae","family",0.06,"Pensacola","genus",0.01,"Pensacola maxillosa","species",0.01
"17282","Zotu17282","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.25,"Hydrozoa","class",0.18,"Anthoathecata","order",0.13,"Pennariidae","family",0.11,"Pennaria","genus",0.11,"Pennaria disticha","species",0.11
"17283","Zotu17283","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.04,"Demospongiae","class",0.04,"Halichondrida","order",0.02,"Axinellidae","family",0.02,"Ptilocaulis","genus",0.01,"Ptilocaulis walpersi","species",0.01
"17284","Zotu17284","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.2,"Hydrozoa","class",0.17,"Anthoathecata","order",0.09,"Zancleidae","family",0.06,"Zanclea","genus",0.06,"Zanclea sango","species",0.06
"17285","Zotu17285","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.16,"Demospongiae","class",0.15,"Poecilosclerida","order",0.11,"Microcionidae","family",0.06,"Clathria","genus",0.05,"Clathria reinwardti","species",0.03
"17290","Zotu17290","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.15,"Homoscleromorpha","class",0.13,"Homosclerophorida","order",0.13,"Plakinidae","family",0.13,"Plakina","genus",0.13,"Plakina monolopha","species",0.13
"17291","Zotu17291","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.06,"Bivalvia","class",0.05,"Pectinoida","order",0.03,"Pectinidae","family",0.03,"Mimachlamys","genus",0.03,"Mimachlamys senatoria","species",0.03
"17292","Zotu17292","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.6,"Insecta","class",0.55,"Lepidoptera","order",0.14,"Tortricidae","family",0.06,"Lozotaenia","genus",0.01,"Lozotaenia hesperia","species",0.01
"17293","Zotu17293","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.18,"Calicogorgia","genus",0.13,"Calicogorgia granulosa","species",0.13,"","",NA,"","",NA,"","",NA
"17294","Zotu17294","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.48,"Arachnida","class",0.19,"Araneae","order",0.16,"Nephilidae","family",0.07,"Nephila","genus",0.07,"Nephila sumptuosa","species",0.06
"17295","Zotu17295","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.04,"Anthozoa","class",0.04,"Antipatharia","order",0.01,"Antipathidae","family",0.01,"Stichopathes","genus",0,"Stichopathes lutkeni","species",0
"17299","Zotu17299","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.26,"Scyphozoa","class",0.1,"Rhizostomeae","order",0.1,"Cepheidae","family",0.1,"Marivagia","genus",0.1,"Marivagia stellata","species",0.1
"17301","Zotu17301","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.59,"Insecta","class",0.45,"Hemiptera","order",0.24,"Membracidae","family",0.03,"Guayaquila","genus",0.02,"Guayaquila emarginata","species",0.02
"17302","Zotu17302","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.65,"Aves","class",0.17,"Passeriformes","order",0.03,"Pardalotidae","family",0,"Aphelocephala","genus",0,"Aphelocephala leucopsis","species",0
"17304","Zotu17304","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.16,"Amphibia","class",0.05,"Caudata","order",0.05,"Ambystomatidae","family",0.05,"Ambystoma","genus",0.05,"Ambystoma bishopi","species",0.05
"17305","Zotu17305","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.27,"Gastropoda","class",0.22,"Helicarionidae","family",0.09,"Peloparion","genus",0.05,"Peloparion submissus","species",0.05,"","",NA
"17310","Zotu17310","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.4,"Insecta","class",0.29,"Hemiptera","order",0.07,"Miridae","family",0.03,"Saileria","genus",0.03,"Saileria bella","species",0.03
"17315","Zotu17315","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.38,"Hydrozoa","class",0.32,"Siphonophorae","order",0.21,"Apolemiidae","family",0.1,"Apolemia","genus",0.1,"Apolemia lanosa","species",0.09
"17316","Zotu17316","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.14,"Anthozoa","class",0.14,"Scleractinia","order",0.14,"Acroporidae","family",0.06,"Astreopora","genus",0.04,"Astreopora explanata","species",0.04
"17321","Zotu17321","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.61,"Insecta","class",0.4,"Orthoptera","order",0.02,"Gryllidae","family",0.02,"Teleogryllus","genus",0.02,"Teleogryllus infernalis","species",0.02
"17325","Zotu17325","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.37,"Insecta","class",0.23,"Ephemeroptera","order",0.04,"Baetidae","family",0.04,"Procloeon","genus",0.03,"Procloeon rubropictum","species",0.03
"17328","Zotu17328","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.79,"Arachnida","class",0.11,"Araneae","order",0.09,"Nephilidae","family",0.04,"Herennia","genus",0.03,"Herennia oz","species",0.01
"17329","Zotu17329","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.48,"Insecta","class",0.44,"Hemiptera","order",0.26,"Halimococcidae","family",0.18,"Colobopyga","genus",0.18,"Colobopyga pritchardiae","species",0.18
"17331","Zotu17331","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.25,"Gastropoda","class",0.25,"Runcinidae","family",0.07,"Runcina","genus",0.07,"Runcina coronata","species",0.07,"","",NA
"17332","Zotu17332","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.86,"Insecta","class",0.66,"Coleoptera","order",0.16,"Carabidae","family",0.07,"Pterostichus","genus",0.06,"Pterostichus deuvesianus","species",0.06
"17334","Zotu17334","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.65,"Insecta","class",0.52,"Coleoptera","order",0.12,"Lampyridae","family",0.02,"Photinus","genus",0.01,"Photinus greeni","species",0.01
"17336","Zotu17336","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.14,"Homoscleromorpha","class",0.02,"Homosclerophorida","order",0.02,"Plakinidae","family",0.02,"Pseudocorticium","genus",0.02,"Pseudocorticium jarrei","species",0.02
"17338","Zotu17338","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.15,"Demospongiae","class",0.14,"Verongida","order",0.08,"Aplysinidae","family",0.08,"Aplysina","genus",0.08,"Aplysina cauliformis","species",0.06
"17340","Zotu17340","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.44,"Hydrozoa","class",0.42,"Anthoathecata","order",0.33,"Pennariidae","family",0.28,"Pennaria","genus",0.28,"Pennaria disticha","species",0.28
"17344","Zotu17344","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.19,"Demospongiae","class",0.17,"Haplosclerida","order",0.04,"Petrosiidae","family",0.03,"Xestospongia","genus",0.03,"Xestospongia proxima","species",0.03
"17346","Zotu17346","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.24,"Insecta","class",0.18,"Coleoptera","order",0.12,"Curculionidae","family",0.11,"Sphenophorus","genus",0.11,"Sphenophorus incurrens","species",0.11
"17348","Zotu17348","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.15,"Gastropoda","class",0.13,"Helicarionidae","family",0.07,"Helicarion","genus",0.03,"Helicarion mastersi","species",0.03,"","",NA
"17353","Zotu17353","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.26,"Arachnida","class",0.02,"Araneae","order",0.02,"Nemesiidae","family",0,"Brachythele","genus",0,"Brachythele longitarsis","species",0
"17354","Zotu17354","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.22,"Hydrozoa","class",0.19,"Limnomedusae","order",0.06,"Olindiasidae","family",0.06,"Cubaia","genus",0.06,"Cubaia aphrodite","species",0.06
"17355","Zotu17355","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.09,"Gastropoda","class",0.08,"Lymnaeidae","family",0.04,"Galba","genus",0.04,"Galba pervia","species",0.04,"","",NA
"17357","Zotu17357","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.17,"Gastropoda","class",0.16,"Vertiginidae","family",0.06,"Vertigo","genus",0.06,"Vertigo pusilla","species",0.06,"","",NA
"17361","Zotu17361","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.63,"Insecta","class",0.48,"Lepidoptera","order",0.12,"Nymphalidae","family",0.07,"Mycalesis","genus",0.02,"Mycalesis richardi","species",0.01
"17363","Zotu17363","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.33,"Arachnida","class",0.14,"Scorpiones","order",0.11,"Vaejovidae","family",0.04,"Konetontli","genus",0.03,"Konetontli acapulco","species",0.03
