"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"97","Zotu97","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.52,"Hydrozoa","class",0.5,"Siphonophorae","order",0.33,"Prayidae","family",0.28,"Amphicaryon","genus",0.27,"Amphicaryon peltifera","species",0.26
"98","Zotu98","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.24,"Gastropoda","class",0.24,"Vitrina","genus",0.04,"Vitrina pellucida","species",0.04,"","",NA,"","",NA
"99","Zotu99","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.4,"Hydrozoa","class",0.14,"Anthoathecata","order",0.08,"Pennariidae","family",0.06,"Pennaria","genus",0.06,"Pennaria disticha","species",0.06
"100","Zotu100","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.38,"Hydrozoa","class",0.38,"Anthoathecata","order",0.22,"Pennariidae","family",0.19,"Pennaria","genus",0.19,"Pennaria disticha","species",0.19
"102","Zotu102","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.2,"Gastropoda","class",0.18,"Helicarionidae","family",0.02,"Brevisentis","genus",0.02,"Brevisentis jacksoniensis","species",0.02,"","",NA
"103","Zotu103","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",1,"Bivalvia","class",1,"Veneroida","order",1,"Mactridae","family",1,"Mactra","genus",1,"Mactra chinensis","species",1
"104","Zotu104","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.33,"Hydrozoa","class",0.31,"Leptothecata","order",0.15,"Campanulariidae","family",0.11,"Rhizocaulus","genus",0.1,"Rhizocaulus verticillatus","species",0.1
"105","Zotu105","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.62,"Insecta","class",0.29,"Lepidoptera","order",0.05,"Nymphalidae","family",0.02,"Greta","genus",0.02,"Greta gardneri","species",0.02
"106","Zotu106","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",1,"Actinopteri","class",1,"Syngnathiformes","order",1,"Callionymidae","family",1,"Callionymus","genus",1,"Callionymus lyra","species",1
"110","Zotu110","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.54,"Insecta","class",0.42,"Orthoptera","order",0.02,"Acrididae","family",0.01,"Carsula","genus",0.01,"Carsula yunnana","species",0.01
"111","Zotu111","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.27,"Insecta","class",0.2,"Hemiptera","order",0.1,"Cicadidae","family",0.1,"Atrapsalta (nomen nudum)","genus",0.01,"Atrapsalta emmotti (nomen nudum)","species",0.01
"115","Zotu115","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.46,"Insecta","class",0.3,"Hemiptera","order",0.1,"Membracidae","family",0.05,"Metcalfiella","genus",0.04,"Metcalfiella monogramma","species",0.04
"116","Zotu116","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.43,"Demospongiae","class",0.28,"Poecilosclerida","order",0.1,"Raspailiidae","family",0.08,"Hymeraphia","genus",0.08,"Hymeraphia breeni","species",0.08
"117","Zotu117","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.48,"Insecta","class",0.37,"Lepidoptera","order",0.14,"Sphingidae","family",0.05,"Gynoeryx","genus",0.04,"Gynoeryx bilineatus","species",0.04
"120","Zotu120","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.8,"Insecta","class",0.68,"Coleoptera","order",0.28,"Staphylinidae","family",0.18,"Alevonota","genus",0.03,"Alevonota rufotestacea","species",0.03
"121","Zotu121","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.17,"Hydrozoa","class",0.14,"Narcomedusae","order",0.07,"Tetraplatia","genus",0.05,"Tetraplatia volitans","species",0.05,"","",NA
"122","Zotu122","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.7,"Insecta","class",0.6,"Diptera","order",0.35,"Drosophilidae","family",0.05,"Drosophila","genus",0.03,"Drosophila tsacasi","species",0.01
"123","Zotu123","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.22,"Hydrozoa","class",0.22,"Siphonophorae","order",0.14,"Physophoridae","family",0.06,"Physophora","genus",0.06,"Physophora hydrostatica","species",0.06
"124","Zotu124","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.14,"Demospongiae","class",0.12,"Poecilosclerida","order",0.02,"Raspailiidae","family",0.02,"Raspailia","genus",0.01,"Raspailia hispida","species",0.01
"125","Zotu125","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.11,"Anthozoa","class",0.07,"Actiniaria","order",0.01,"Sagartiidae","family",0.01,"Sagartia","genus",0.01,"Sagartia ornata","species",0.01
"126","Zotu126","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.49,"Insecta","class",0.36,"Lepidoptera","order",0.11,"Lycaenidae","family",0.05,"Pseudolucia","genus",0.04,"Pseudolucia henyah","species",0.04
"128","Zotu128","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.15,"Demospongiae","class",0.13,"Hadromerida","order",0.09,"Tethyidae","family",0.07,"Tethya","genus",0.07,"Tethya actinia","species",0.06
"129","Zotu129","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.12,"Hydrozoa","class",0.04,"Anthoathecata","order",0.01,"Ptilocodiidae","family",0.01,"Hydrichthella","genus",0.01,"Hydrichthella epigorgia","species",0.01
"130","Zotu130","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.39,"Insecta","class",0.3,"Hemiptera","order",0.06,"Cercopidae","family",0.04,"Locris","genus",0.04,"Locris pullata","species",0.04
"132","Zotu132","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.52,"Arachnida","class",0.15,"Astigmata","order",0.03,"Psoroptidae","family",0.03,"Chorioptes","genus",0.03,"Chorioptes bovis","species",0.03
"133","Zotu133","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.31,"Demospongiae","class",0.31,"Hadromerida","order",0.14,"Polymastiidae","family",0.11,"Polymastia","genus",0.09,"Polymastia mamillaris","species",0.04
"134","Zotu134","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.32,"Anthozoa","class",0.26,"Actiniaria","order",0.21,"Aiptasiidae","family",0.08,"Aiptasia","genus",0.08,"Aiptasia pulchella","species",0.08
"135","Zotu135","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.6,"Insecta","class",0.43,"Diptera","order",0.08,"Drosophilidae","family",0.01,"Phortica","genus",0,"Phortica xishuangbanna","species",0
"136","Zotu136","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.33,"Hydrozoa","class",0.19,"Anthoathecata","order",0.08,"Pennariidae","family",0,"Pennaria","genus",0,"Pennaria disticha","species",0
"138","Zotu138","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.24,"Ascidiacea","class",0.22,"Enterogona","order",0.22,"Corellidae","family",0.22,"Rhodosoma","genus",0.22,"Rhodosoma turcicum","species",0.22
"139","Zotu139","","root","root",1,"Eukaryota","superkingdom",1,"Hemichordata","phylum",0.03,"Enteropneusta","class",0.03,"Ptychoderidae","family",0.03,"Balanoglossus","genus",0.03,"Balanoglossus clavigerus","species",0.03,"","",NA
"140","Zotu140","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.59,"Arachnida","class",0.16,"Ixodida","order",0.02,"Ixodidae","family",0.02,"Rhipicephalus","genus",0.02,"Rhipicephalus kohlsi","species",0.02
"142","Zotu142","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.73,"Insecta","class",0.7,"Lepidoptera","order",0.1,"Lycaenidae","family",0.05,"Chrysoritis","genus",0.04,"Chrysoritis lyncurium","species",0.04
