OTU	assignmentQual	taxID	superkingdom	phylum	class	order	family	genus	species
OTU_17526	Low	1892891	Eukaryota						Amoebozoa sp.
OTU_17527	Low	84397	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
OTU_17528	Low	1514138	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	Lithodesmium	Lithodesmium variabile
OTU_17529	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17530	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17531	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17532	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17533	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17534	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17535	High	6386	Eukaryota	Annelida	Clitellata	Haplotaxida	Naididae	Tubifex	Tubifex tubifex
OTU_17536	Low	5400	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Agrocybe	Agrocybe aegerita
OTU_17537	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17538	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17539	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17540	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17542	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17543	Low	2065307	Eukaryota		Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora cf. parsiana
OTU_17544	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17546	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17547	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17548	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17549	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17550	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17551	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17553	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17554	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17555	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17556	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17557	High-MH	None	Eukaryota	Annelida	Clitellata	Haplotaxida	Lumbricidae	NA	NA
OTU_17558	Low	683124	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium haoranii
OTU_17559	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17561	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17562	Low	2592988	Eukaryota	Arthropoda	Hexanauplia	Harpacticoida	Ectinosomatidae		Ectinosomatidae sp. SR-2019
OTU_17564	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17565	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17566	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17567	Low	1977864	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. RS39
OTU_17568	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17569	Low	1545448	Eukaryota		Chrysophyceae			Segregatospumella	Segregatospumella dracosaxi
OTU_17570	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17571	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17572	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17573	Low	1925548	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales		Candidatus Fonsibacter	Candidatus Fonsibacter ubiquis
OTU_17574	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17575	Low	859643	Eukaryota		Raphidophyceae	Chattonellales	Chattonellaceae	Chattonella	Chattonella marina
OTU_17576	Low	33653	Eukaryota			Bicosoecida	Cafeteriaceae	Cafeteria	Cafeteria roenbergensis
OTU_17577	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17578	High	216125	Eukaryota	Mollusca	Gastropoda	Trochida	Trochidae	Gibbula	Gibbula cineraria
OTU_17579	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17580	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17581	High	65125	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Scophthalmidae	Scophthalmus	Scophthalmus rhombus
OTU_17582	High-MH	None	Eukaryota	Annelida	Clitellata	Haplotaxida	Lumbricidae	NA	NA
OTU_17583	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17584	High-MH	None	Eukaryota			Longamoebia	Acanthamoebidae	Acanthamoeba	NA
OTU_17585	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17587	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17589	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17590	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17591	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17592	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17593	Low	1899534	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Zancleidae	Zanclea	Zanclea implexa
OTU_17594	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17595	Low-MH-S	49238;1514137	Eukaryota	Bacillariophyta	Coscinodiscophyceae	NA	NA	NA	NA
OTU_17596	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17597	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17598	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17599	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17600	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17601	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17602	Low	945048	Eukaryota	Annelida	Clitellata	Haplotaxida	Glossoscolecidae	Rhinodrilus	Rhinodrilus alatus
OTU_17603	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17604	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17605	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17606	High	288840	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Prodiamesa	Prodiamesa olivacea
OTU_17607	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17608	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17609	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17610	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17611	Low	370292	Eukaryota	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora ganbajun
OTU_17612	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17613	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17614	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17615	Low	1494254	Eukaryota	Arthropoda	Arachnida	Araneae	Nemesiidae	Aname	Aname sp. MYG271
OTU_17616	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17617	Low	1805947	Eukaryota		Eustigmatophyceae	Eustigmatales	Eustigmataceae	Vischeria	Vischeria sp. CAUP Q 202
OTU_17618	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17619	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17620	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17621	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17622	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17623	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17624	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17625	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17626	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17627	Low	65659	Eukaryota			Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba comandoni
OTU_17628	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17629	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17630	Low	1774273	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter vadi
OTU_17631	Low	1608540	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Balellidae	Balella	Balella mirabilis
OTU_17632	Low	1306403	Eukaryota		Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora x stagnum
OTU_17633	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17634	Low	190705	Eukaryota		Phaeophyceae	Ectocarpales	Chordariaceae	Microspongium	Microspongium radians
OTU_17635	Low	994136	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Corynoneura	Corynoneura sp. BOLD:AAI5884
OTU_17636	Low	655981	Eukaryota	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus destructans
OTU_17637	None	None	NA	NA	NA	NA	NA	NA	NA
