"","S1.T1","S1.T2","S1.T3","S1.T4","S1.T5","S1.T6","S1.T7","S1.T8","S1.T9","S2.T1","S2.T2","S2.T3","S2.T4","S2.T5","S2.T6","S2.T7","S2.T8","S2.T9","S3.T1","S3.T2","S3.T3","S3.T4","S3.T5","S3.T6","S3.T7","S3.T8","S3.T9","S4.T1","S4.T2","S4.T3","S4.T4","S4.T5","S4.T6","S4.T7","S4.T8","S4.T9"
"OTU_10073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_1008",0,15,4,6,3,0,0,0,0,4,0,5,5,8,1,0,0,0,0,0,8,3,4,2,0,0,0,4,9,8,7,10,1,0,0,0
"OTU_1012",4,5,8,3,3,0,0,0,0,6,6,5,5,3,0,0,0,0,14,5,0,6,8,0,0,0,0,1,0,2,10,6,2,0,0,0
"OTU_1013",0,7,9,5,1,0,0,0,2,3,0,0,2,6,0,1,0,0,3,0,4,0,3,3,0,0,6,4,11,4,2,5,0,0,1,0
"OTU_1015",4,0,0,3,8,0,0,0,0,0,0,10,1,0,0,0,0,0,0,4,4,1,0,0,0,0,0,3,6,4,4,10,0,0,0,0
"OTU_1016",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,3
"OTU_1017",10,11,6,1,0,0,0,0,0,11,5,3,1,1,0,0,0,0,19,15,7,7,0,0,0,0,0,5,5,2,0,0,0,0,0,0
"OTU_1018",17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_1019",5,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"OTU_102",4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1021",6,0,0,9,1,0,0,0,0,0,9,6,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
"OTU_1022",1,10,4,2,4,0,0,0,0,6,7,6,8,2,1,0,0,0,5,0,4,5,1,1,0,0,0,7,3,11,3,5,0,0,0,0
"OTU_1023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1026",1,3,0,2,1,2,0,0,0,5,10,9,4,3,0,0,0,0,4,0,2,2,3,1,0,0,0,1,12,7,2,0,0,0,0,0
"OTU_1027",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1028",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10280",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10283",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10284",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10286",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10287",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1029",6,11,17,2,1,2,1,2,0,8,5,12,0,1,0,0,0,0,5,9,5,19,12,1,1,0,2,0,8,7,3,0,0,0,0,0
"OTU_10290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10291",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10293",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
